﻿名前,希望日時
局次長・部長A,"1, 2, 4, 7, 23, 18, 11"
部長A,"12, 24, 3, 11, 22, 12"
部長B,"11, 3, 6, 26, 14"
部長C,"22, 18, 19"
部長D,"5"
部長E: "6, 28, 2, 27"
副部長A,"26, 17, 10"
副部長B,"10, 4, 15, 12"
副部長C,"10, 26, 11, 25, 27"
副部長D,"18, 10, 20"
副部長E,"27, 20, 3"
副部長F,"17, 6, 11, 21"
副部長G,"18, 4, 23"
副部長H,"27, 29, 2, 17"
副部長I,"5, 13, 11"
副部長J,"28, 12, 24, 22, 16"
副部長K,"22, 24, 5"
部員A,"14, 18, 4, 10"
部員B,"22, 13, 3, 29, 5"
部員C,"27, 23, 4, 26, 5"
部員D,"18, 6, 3"
部員E,"7, 21, 11, 16, 20"
部員F,"22, 27, 8, 2"
部員G,"29, 6, 11, 10"
部員H,"13, 26, 12"
部員I,"20, 11, 2"
部員J,"6, 21, 14"
部員K,"4, 8, 27, 10, 3"
部員L,"8, 15, 19, 22"
部員M,"16, 11, 28, 29"
部員N,"23, 27, 30, 13"
部員O,"9, 5, 22, 3, 23"
部員P,"23, 20, 1"
部員Q,"7, 14, 2, 21"
部員R,"11, 24, 21, 26"